Sentence|Fallacy Type|Rationale|Latency (ms)
Your fashion sense is so bad, it's no wonder you can't make a good argument about economic policy.|Ad Hominem|Attacks the person's fashion sense instead of addressing their economic policy argument.|793.52
My opponent wants to improve our parks, which clearly means he's happy to ignore the homeless crisis!|Straw Man. The argument misrepresents the opponent's position by falsely equating support for park improvements with ignoring the homeless crisis.||729.20
If we legalize marijuana, then everyone will start using harder drugs, and society will collapse.|Slippery Slope|The argument assumes legalizing marijuana will inevitably lead to extreme consequences (harder drug use, societal collapse) without evidence of a direct causal chain.|559.84
You must either be a complete genius or a total idiot; there's no in-between.|False Dichotomy|The statement presents only two extreme options (genius or idiot) as if no middle ground exists, ignoring other possibilities.|616.23
Just imagine the joy on a child's face if you donate to this cause; how could you refuse?|Appeal to Emotion|Uses emotional imagery of a child's joy to pressure donation, bypassing logical argumentation.|659.99
The sun rises in the east and sets in the west.|FORMAT_ERROR|None. The statement is a factual observation about the sun's movement and does not contain any logical fallacy.|469.50
What is your favorite color?|None||613.01
This report indicates a 10% increase in sales over the last quarter.|None||502.39
I believe that investing in renewable energy is crucial for the future.|None||490.90
He's a terrible singer, so his views on climate change must be wrong.|Ad Hominem|Attacks the person's singing ability instead of addressing their climate change views.|561.61
The new city council member wants to cut funding for the library; clearly, she wants our children to grow up ignorant.|Straw Man. The argument misrepresents the council member's position by equating funding cuts to a desire for children's ignorance, ignoring potential alternative reasons.||785.92
If we allow students to use tablets in class, they'll soon forget how to write by hand, and then literacy rates will plummet.|Slippery Slope|Assumes allowing tablets will inevitably lead to plummeting literacy without evidence of a direct causal chain.|627.18
Either you support my plan completely, or you're against our company's success.|False Dichotomy|Presents only two extreme options (complete support or opposition) while ignoring possible middle grounds.|518.12
Please, think of the suffering animals; we have to pass this new animal welfare bill right now!|Appeal to Emotion|The argument uses emotional appeals about animal suffering to pressure support for the bill, bypassing logical reasoning.|539.38
The capital of France is Paris.|None||566.86
What time does the train to London depart?|FORMAT_ERROR|None.|563.30
Research suggests that a balanced diet contributes to good health.|None||659.94
Many people enjoy walking in the park during autumn.|None||460.75
You wouldn't understand the complexities of this issue; you didn't even go to college.|Ad Hominem. The argument attacks the person's educational background instead of addressing the issue itself.||504.46
So you think we should invest more in public transportation? It's clear you want to bankrupt the city with your wild spending ideas.|Straw Man. The argument misrepresents the proposal to invest in public transportation as an intent to "bankrupt the city with wild spending," exaggerating and distorting the original claim.||819.12
If we let them build that new apartment complex, traffic will become unbearable, and our quiet neighborhood will be ruined forever.|Slippery Slope. The argument assumes that building the apartment complex will inevitably lead to extreme negative consequences without justifying the causal chain.||728.68
It's simple: either we increase military spending, or we leave ourselves vulnerable to attack.|False Dichotomy|Presents only two extreme options (increase military spending or vulnerability) while ignoring potential alternatives.|523.80
Look at these heartbreaking images of disaster victims; you must donate to our relief fund.|Appeal to Emotion|Uses emotional imagery to pressure donation without logical argument.|482.52
The Earth revolves around the Sun.|None||669.51
How many cups of coffee do you drink per day?|None||546.60
The company's stock price increased by 5% yesterday.|None||490.65
Public speaking can be a challenging skill to master.|FORMAT_ERROR|None.|552.55
Only a fool would disagree with my assessment of the political situation.|Ad Hominem|Disparages opponents as "fools" instead of addressing their arguments.|786.41
